# Accelerometer Data File
# Started @Fri Dec 02 13:37:46 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM6DS3 Accelerometer
# sensor Resolution: 5.950928E-4m/sec^2; Max Range: 78.4532; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.437 5.611 7.91 5
-0.423 5.627 7.927 5
-0.404 5.63 7.91 5
-0.387 5.649 7.853 5
-0.363 5.654 7.824 5
-0.363 5.663 7.786 5
-0.366 5.644 7.75 5
-0.363 5.627 7.752 5
-0.382 5.642 7.767 5
-0.423 5.651 7.817 5
-0.464 5.639 7.836 5
-0.48 5.644 7.824 5
-0.454 5.651 7.814 5
-0.413 5.647 7.814 5
-0.363 5.637 7.779 5
-0.315 5.63 7.769 5
-0.306 5.635 7.745 5
-0.275 5.68 7.719 5
-0.256 5.704 7.735 5
-0.248 5.74 7.724 5
-0.21 5.776 7.704 5
-0.212 5.788 7.69 5
-0.222 5.795 7.7 5
-0.193 5.819 7.719 5
-0.201 5.814 7.731 5
-0.201 5.819 7.735 5
-0.21 5.816 7.757 5
-0.201 5.838 7.788 5
-0.208 5.831 7.831 5
-0.191 5.852 7.879 5
-0.172 5.848 7.922 5
-0.189 5.831 7.915 4
-0.21 5.802 7.915 5
-0.224 5.761 7.936 5
-0.241 5.723 7.965 5
-0.26 5.69 7.965 5
-0.275 5.673 7.958 5
-0.296 5.682 7.936 5
-0.33 5.644 7.915 5
-0.366 5.635 7.884 5
-0.368 5.627 7.865 5
-0.378 5.625 7.862 5
-0.392 5.656 7.862 5
-0.394 5.649 7.843 5
-0.378 5.649 7.819 5
-0.368 5.656 7.786 5
-0.346 5.651 7.731 5
-0.344 5.642 7.714 5
-0.337 5.62 7.676 5
-0.33 5.615 7.647 5
-0.351 5.632 7.606 5
-0.38 5.615 7.575 5
-0.413 5.611 7.561 5
-0.473 5.572 7.532 5
-0.49 5.536 7.511 5
-0.485 5.51 7.525 5
-0.476 5.484 7.549 5
-0.421 5.474 7.537 5
-0.38 5.479 7.546 5
-0.358 5.498 7.546 5
-0.33 5.513 7.554 5
-0.318 5.513 7.585 5
-0.289 5.493 7.578 5
-0.251 5.496 7.592 4
-0.229 5.498 7.625 5
-0.241 5.486 7.637 5
-0.279 5.484 7.642 5
-0.32 5.467 7.673 5
-0.378 5.45 7.676 5
-0.418 5.434 7.709 5
-0.488 5.412 7.767 5
-0.516 5.4 7.855 5
-0.564 5.388 7.958 5
-0.626 5.374 8.049 5
-0.727 5.321 8.13 5
-0.78 5.28 8.216 5
-0.82 5.24 8.305 5
-0.854 5.216 8.372 5
-0.878 5.192 8.458 5
-0.937 5.19 8.513 5
-0.971 5.178 8.542 5
-0.976 5.142 8.537 5
-0.961 5.12 8.554 5
-0.933 5.108 8.58 5
-0.885 5.087 8.573 5
-0.835 5.108 8.551 5
-0.777 5.125 8.551 5
-0.701 5.166 8.549 5
-0.641 5.197 8.542 5
-0.595 5.242 8.511 5
-0.552 5.29 8.484 5
-0.552 5.307 8.437 5
-0.564 5.335 8.374 5
-0.533 5.316 8.291 5
-0.492 5.316 8.228 5
-0.457 5.331 8.147 5
-0.476 5.347 8.08 4
-0.483 5.376 8.001 5
-0.526 5.359 7.903 5
-0.543 5.367 7.834 5
-0.559 5.355 7.81 5
-0.567 5.321 7.762 5
-0.557 5.297 7.759 5
-0.547 5.288 7.767 5
-0.535 5.297 7.791 5
-0.516 5.295 7.836 5
-0.495 5.319 7.867 5
-0.483 5.312 7.941 5
-0.473 5.304 7.994 5
-0.478 5.292 8.056 5
-0.497 5.257 8.116 5
-0.535 5.218 8.164 5
-0.552 5.173 8.228 5
-0.543 5.158 8.319 5
-0.559 5.137 8.386 5
-0.552 5.132 8.413 5
-0.571 5.127 8.384 5
-0.583 5.108 8.372 5
-0.552 5.099 8.405 5
-0.555 5.111 8.429 5
-0.521 5.125 8.444 5
-0.461 5.125 8.444 5
-0.411 5.163 8.451 5
-0.38 5.199 8.42 5
-0.311 5.225 8.389 5
-0.253 5.245 8.374 5
-0.215 5.264 8.336 5
-0.21 5.261 8.303 5
-0.22 5.24 8.288 5
-0.234 5.242 8.317 4
-0.256 5.225 8.3 5
-0.267 5.233 8.264 5
-0.296 5.204 8.231 5
-0.339 5.199 8.212 5
-0.392 5.197 8.171 5
-0.435 5.194 8.123 5
-0.473 5.199 8.106 5
-0.512 5.187 8.047 5
-0.524 5.182 7.987 5
-0.545 5.192 7.958 5
-0.531 5.209 7.941 5
-0.478 5.235 7.951 5
-0.435 5.276 7.941 5
-0.366 5.312 7.948 5
-0.323 5.331 7.987 5
-0.267 5.357 8.032 5
-0.227 5.369 8.082 5
-0.229 5.352 8.142 5
-0.246 5.335 8.209 5
-0.21 5.304 8.252 5
-0.222 5.257 8.281 5
-0.241 5.204 8.319 5
-0.256 5.18 8.329 5
-0.229 5.149 8.324 5
-0.22 5.142 8.303 5
-0.234 5.132 8.298 5
-0.234 5.144 8.307 5
-0.258 5.142 8.3 5
-0.251 5.163 8.291 5
-0.236 5.199 8.271 5
-0.22 5.23 8.245 5
-0.224 5.247 8.236 4
-0.222 5.245 8.233 5
-0.232 5.245 8.226 5
-0.205 5.24 8.197 5
-0.198 5.211 8.214 5
-0.186 5.204 8.245 5
-0.186 5.187 8.24 5
-0.184 5.17 8.25 5
-0.196 5.161 8.255 5
-0.229 5.146 8.255 5
-0.287 5.115 8.245 5
-0.315 5.101 8.221 5
-0.308 5.067 8.204 5
-0.299 5.063 8.164 5
-0.284 5.039 8.116 5
-0.234 5.041 8.085 5
-0.196 5.044 8.025 5
-0.169 5.056 8.001 5
-0.134 5.06 7.956 5
-0.107 5.072 7.932 5
-0.1 5.044 7.927 5
-0.095 5.029 7.913 5
-0.086 5.024 7.927 5
-0.081 5.034 7.951 5
-0.081 5.032 7.98 5
-0.095 5.041 7.992 5
-0.074 5.065 8.02 5
-0.081 5.048 8.078 5
-0.059 5.034 8.118 5
-0.057 5.046 8.183 5
-0.059 5.036 8.202 5
-0.067 5.032 8.233 5
-0.081 5.015 8.238 5
-0.074 4.979 8.216 4
-0.086 4.993 8.231 5
-0.107 4.984 8.245 5
-0.124 4.989 8.231 5
