# Accelerometer Data File
# Started @Fri Dec 02 13:30:54 CST 2016
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM330 3-axis Accelerometer
# sensor Resolution: 0.009576807m/sec^2; Max Range: 78.4532; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-0.746 4.424 9.95 10
-0.718 4.386 9.835 11
-0.679 4.338 9.682 9
-0.593 4.252 9.557 10
-0.402 4.252 9.452 10
-0.095 4.271 9.481 10
0.114 4.232 9.672 10
-0.009 4.118 9.911 10
-0.421 3.916 10.103 10
-0.861 3.811 10.266 10
-1.254 3.897 10.4 10
-1.599 4.041 10.448 10
-1.896 4.175 10.352 11
-2.068 4.185 10.132 9
-2.106 4.137 9.854 10
-1.991 4.07 9.605 11
-1.829 3.983 9.346 10
-1.666 3.878 9.145 9
-1.513 3.725 8.925 10
-1.474 3.533 8.753 10
-1.369 3.476 8.762 10
-1.264 3.552 8.896 10
-1.197 3.505 9.078 10
-1.139 3.371 9.308 10
-1.063 3.236 9.222 10
-0.995 3.122 8.887 10
-0.861 3.112 8.465 10
-0.699 3.284 7.958 10
-0.555 3.476 7.517 10
-0.44 3.62 7.096 10
-0.344 3.706 6.847 10
-0.229 3.792 6.665 11
-0.191 3.897 6.579 10
-0.268 4.003 6.636 9
-0.411 4.05 6.684 10
-0.603 4.012 6.742 10
-0.756 3.955 6.885 10
-0.804 3.974 7.067 10
-0.699 4.022 7.326 10
-0.545 4.079 7.594 10
-0.507 4.098 7.709 10
-0.43 4.137 7.757 10
-0.363 4.28 7.862 10
-0.421 4.424 7.977 10
-0.488 4.548 8.092 10
-0.593 4.577 8.331 10
-0.708 4.529 8.504 10
-0.823 4.558 8.676 10
-0.928 4.683 8.944 10
-0.995 4.769 9.165 10
-1.034 4.74 9.538 10
-1.072 4.587 9.931 11
-1.264 4.395 10.362 9
-1.58 4.271 10.687 10
-1.944 4.156 10.907 10
-2.078 4.118 10.936 10
-1.8 4.204 10.716 11
-1.235 4.204 10.409 9
-0.612 4.185 10.026 11
-0.105 4.242 9.624 9
0.153 4.462 9.404 10
0.124 4.654 9.366 11
-0.268 4.702 9.414 9
-0.881 4.692 9.71 11
-1.532 4.587 9.979 10
-2.049 4.491 10.189 9
-2.384 4.357 10.4 11
-2.384 4.261 10.544 9
-2.183 4.118 10.448 10
-1.704 3.955 10.237 10
-1.302 3.878 9.902 10
-1.024 3.897 9.452 10
-0.986 4.012 8.992 10
-1.043 4.089 8.619 10
-1.139 4.165 8.408 10
-1.177 4.098 8.35 10
-1.187 3.869 8.465 10
-1.139 3.581 8.638 10
-1.11 3.284 8.676 10
-1.024 3.064 8.485 10
-0.794 2.997 8.197 10
-0.526 2.997 7.728 10
-0.258 3.074 7.22 11
-0.047 3.246 6.818 9
0.047 3.495 6.675 10
0.105 3.725 6.655 10
0.047 3.792 6.607 10
-0.076 3.83 6.483 11
-0.134 3.945 6.358 9
-0.057 4.194 6.244 10
0.114 4.434 6.301 10
0.162 4.635 6.531 11
0.134 4.759 6.646 9
-0.009 4.769 6.876 10
-0.162 4.807 7.211 10
-0.325 4.865 7.546 10
-0.459 4.865 7.843 10
-0.612 4.865 8.111 10
-0.699 4.893 8.379 10
-0.67 4.922 8.552 10
-0.421 4.941 8.657 10
0.009 4.884 8.724 10
0.545 4.912 8.801 10
1.053 4.903 9.011 10
1.503 4.874 9.356 10
1.714 4.865 9.787 10
1.637 4.75 10.189 10
1.187 4.625 10.419 11
0.43 4.683 10.563 9
-0.239 4.826 10.601 10
-0.89 5.085 10.649 11
-1.321 5.295 10.601 9
